"Designator","Quantity","Value","Footprint"
"C11, C32, C34, C62, C71, ","5","1uF","MRS_Passives:C0603"
"C12, C41, C51, ","3","0.1uF","MRS_Passives:C0603"
"C31, C33, C61, ","3","10uF","MRS_Passives:C1210"
"C35, ","1","10nF","MRS_Passives:C0603"
"D1, ","1","PPS1045-3G","MRS_TO:TO-277-3"
"D31, ","1","MBR230LSFT1G","MRS_Diodes:SOD-123"
"H1, H2, H3, H4, ","4","Mounting_hole_unplated_3,2mm","MRS_Mechanical:Mounting_hole_unplated_3,2mm"
"H111, ","1","Mr_Gardener_Logo_Small","MR_Hydrogardener_Logos:mr_hydrogardener_logo_12mm"
"J1, ","1","Barrel_Jack","MRS_Connectors:BarrelJack_Horizontal"
"J2, ","1","Header_1x6","MRS_Connectors:Header_1x06_P2.54mm"
"J3, ","1","S3B-ZR","MRS_Connectors:S3B-ZR"
"J4, ","1","BNC","MRS_Connectors:TE_BNC"
"J10, J7, J8, J9, ","4","A2501WR-2P1","MRS_Connectors:A2501WR-2P1"
"J15, ","1","S2B-ZR","MRS_Connectors:S2B-ZR"
"L31, ","1","2.2uH","MRS_Passives:L1210"
"LD1, ","1","RF-W2SA50TS-A39R","MRS_Diodes:RF-W2SA50TS-A39R"
"Q7, Q8, Q9, Q10, ","4","IRLML6346TRPBF","MRS_SOT:SOT-23"
"R12, R11, R7, R8, R9, R31, R3, R14, R16, R13, R15, R17, R1, ","13","10k","MRS_Passives:R0603"
"R19, R23, R24, R25, ","4","1k","MRS_Passives:R0603"
"R32, ","1","49k9","MRS_Passives:R0603"
"R33, ","1","15k8","MRS_Passives:R0603"
"R112, R111, R113, ","3","150R","MRS_Passives:R0603"
"U1, ","1","ESP32-WROOM","MRS_Communication:ESP32-WROOM"
"U3, ","1","AOZ1280","MRS_SOT:SOT-23-6"
"U4, ","1","SHT31","MRS_Sensors:SHT31"
"U5, ","1","MC33078","MRS_SO:SOIC-8"
"U6, ","1","MCP3421","MRS_SOT:SOT-23-6"
"U7, ","1","MCP1501","MRS_SOT:SOT-23-6"
