"Designator","Quantity","Value","Cmp name","Footprint","Description","TME","Farnell","Mouser"
"C11, C32, C34, C62, C71, ","5","1uF","C","MRS_Passives:C0603","","CL10A105KA8NNNC","",""
"C12, C41, C51, ","3","0.1uF","C","MRS_Passives:C0603","","CL10B104KO8NNNC","",""
"C31, C33, C61, ","3","10uF","C","MRS_Passives:C1210","","CL32B106KAJNNNE","",""
"C35, ","1","10nF","C","MRS_Passives:C0603","","CL10A105KA8NNNC","",""
"D1, ","1","PPS1045-3G","Diode_Schottky","MRS_TO:TO-277-3","","PPS1045-3G-DIO","",""
"D31, ","1","MBR230LSFT1G","Diode_Schottky","MRS_Diodes:SOD-123","","MBR230LSFT1G","",""
"H1, H2, H3, H4, ","4","Mounting_hole_unplated_3,2mm","Mounting_hole_unplated_3,2mm","MRS_Mechanical:Mounting_hole_unplated_3,2mm","","","",""
"H111, ","1","Mr_Gardener_Logo_Small","Mr_Gardener_Logo_Small","MR_Hydrogardener_Logos:mr_hydrogardener_logo_12mm","","","",""
"J1, ","1","Barrel_Jack","Barrel_Jack","MRS_Connectors:BarrelJack_Horizontal","DC Barrel Jack","PC-GK2.5","",""
"J2, ","1","Header_1x6","Header_1x6","MRS_Connectors:Header_1x06_P2.54mm","","","",""
"J3, ","1","S3B-ZR","Header_1x3","MRS_Connectors:S3B-ZR","","S3B-ZR","",""
"J4, ","1","BNC","Conn_Coaxial","MRS_Connectors:TE_BNC","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)","5-1634556-0","",""
"J10, J7, J8, J9, ","4","A2501WR-2P1","NXW-02","MRS_Connectors:A2501WR-2P1","","NX2500-02SMR","",""
"J15, ","1","S2B-ZR","NXW-02","MRS_Connectors:S2B-ZR","","S2B-ZR","",""
"L31, ","1","2.2uH","L","MRS_Passives:L1210","","LQH32PN2R2NN0L","",""
"LD1, ","1","RF-W2SA50TS-A39R","RF-W2SA50TS-A39R","MRS_Diodes:RF-W2SA50TS-A39R","","RF-W2SA50TS-A39R","",""
"Q7, Q8, Q9, Q10, ","4","IRLML6346TRPBF","IRLML6346TRPBF","MRS_SOT:SOT-23","","IRLML6346TRPBF","",""
"R12, R11, R7, R8, R9, R31, R3, R14, R16, R13, R15, R17, R1, ","13","10k","R","MRS_Passives:R0603","","WF06P-10K-5%","",""
"R19, R23, R24, R25, ","4","1k","R","MRS_Passives:R0603","","WF06P-1K-5%","",""
"R32, ","1","49k9","R","MRS_Passives:R0603","","WF06P-10K-5%","",""
"R33, ","1","15k8","R","MRS_Passives:R0603","","WF06P-10K-5%","",""
"R112, R111, R113, ","3","150R","R","MRS_Passives:R0603","","WF06P-150R-5%","",""
"U1, ","1","ESP32-WROOM","ESP32-WROOM","MRS_Communication:ESP32-WROOM","","ESP32-WROOM-32D","",""
"U3, ","1","AOZ1280","AOZ1280","MRS_SOT:SOT-23-6","Buck converter","AOZ1280CI","",""
"U4, ","1","SHT31","SHT31","MRS_Sensors:SHT31","","SHT31-DIS-B","",""
"U5, ","1","MC33078","MC33078","MRS_SO:SOIC-8","Low Noise, Dual Operational Amplifiers, DIP-8/SOIC-8/SSOP-8","MC33078DT","",""
"U6, ","1","MCP3421","MCP3421","MRS_SOT:SOT-23-6","","MCP3421A0T-E/CH","",""
"U7, ","1","MCP1501","MCP1501","MRS_SOT:SOT-23-6","","MCP1501T-10E/CHY","",""
